 1.00000     1.9476E-02
 0.45425     4.2874E-02
 0.29387     6.6273E-02
 0.21719     8.9672E-02
 0.17224     1.1307E-01
 0.14271     1.3647E-01
 0.12182     1.5987E-01
 0.10627     1.8327E-01
 0.09424     2.0667E-01
 0.08465     2.3006E-01
 0.07684     2.5346E-01
 0.07034     2.7686E-01
 0.06486     3.0026E-01
 0.06017     3.2366E-01
 0.05612     3.4706E-01
 0.05257     3.7046E-01
 0.04945     3.9386E-01
 0.04668     4.1725E-01
 0.04420     4.4065E-01
 0.04197     4.6405E-01
 0.03995     4.8745E-01
 0.03812     5.1085E-01
 0.03645     5.3425E-01
 0.03492     5.5765E-01
 0.03352     5.8104E-01
 0.03222     6.0444E-01
 0.03102     6.2784E-01
 0.02991     6.5124E-01
 0.02887     6.7464E-01
 0.02790     6.9804E-01
 0.02700     7.2144E-01
 0.02615     7.4484E-01
 0.02535     7.6823E-01
 0.02460     7.9163E-01
 0.02390     8.1503E-01
 0.02323     8.3843E-01
 0.02260     8.6183E-01
 0.02200     8.8523E-01
 0.02143     9.0863E-01
 0.02090     9.3203E-01
 0.02038     9.5542E-01
 0.01990     9.7882E-01
 0.01943     1.0022E+00
 0.01899     1.0256E+00
 0.01857     1.0490E+00
 0.01816     1.0724E+00
 0.01777     1.0958E+00
 0.01740     1.1192E+00
 0.01704     1.1426E+00
 0.01670     1.1660E+00
 0.01637     1.1894E+00
 0.01606     1.2128E+00
 0.01575     1.2362E+00
 0.01546     1.2596E+00
 0.01518     1.2830E+00
 0.01491     1.3064E+00
 0.01465     1.3298E+00
 0.01439     1.3532E+00
 0.01415     1.3766E+00
 0.01391     1.4000E+00
 0.01368     1.4235E+00
 0.01345     1.4479E+00
 0.01322     1.4730E+00
 0.01299     1.4991E+00
 0.01276     1.5261E+00
 0.01253     1.5541E+00
 0.01230     1.5832E+00
 0.01207     1.6133E+00
 0.01184     1.6447E+00
 0.01161     1.6772E+00
 0.01138     1.7111E+00
 0.01115     1.7464E+00
 0.01092     1.7832E+00
 0.01069     1.8215E+00
 0.01046     1.8615E+00
