    4.8000E+00     2.1702E+09     2.6277E+03     5.6076E+02    -2.9401E-02
    4.7900E+00     2.1490E+09     2.6148E+03     5.5543E+02    -2.5584E-03
    4.7800E+00     1.9144E+09     2.4680E+03     4.9629E+02    -4.8417E-03
    4.7700E+00     1.8024E+09     2.3947E+03     4.6801E+02     3.0974E-03
    4.7600E+00     1.9735E+09     2.5058E+03     5.1123E+02     2.7835E-03
    4.7500E+00     2.1826E+09     2.6352E+03     5.6388E+02    -1.1869E-02
    4.7400E+00     2.1301E+09     2.6033E+03     5.5066E+02    -2.4892E-03
    4.7300E+00     1.8912E+09     2.4530E+03     4.9044E+02    -6.4788E-03
    4.7200E+00     1.8082E+09     2.3986E+03     4.6948E+02     2.7801E-03
    4.7100E+00     2.0000E+09     2.5226E+03     5.1790E+02     3.0678E-03
    4.7000E+00     2.1918E+09     2.6407E+03     5.6619E+02    -7.5190E-03
    4.6900E+00     2.1088E+09     2.5903E+03     5.4531E+02    -2.4637E-03
    4.6800E+00     1.8699E+09     2.4392E+03     4.8508E+02    -1.0161E-02
    4.6700E+00     1.8174E+09     2.4047E+03     4.7180E+02     2.5687E-03
    4.6600E+00     2.0265E+09     2.5392E+03     5.2457E+02     3.4742E-03
    4.6500E+00     2.1976E+09     2.6442E+03     5.6766E+02    -5.5684E-03
    4.6400E+00     2.0856E+09     2.5760E+03     5.3948E+02    -2.4807E-03
    4.6300E+00     1.8510E+09     2.4268E+03     4.8029E+02    -2.5083E-02
    4.6200E+00     1.8298E+09     2.4128E+03     4.7494E+02     2.4320E-03
    4.6100E+00     2.0525E+09     2.5554E+03     5.3113E+02     4.0712E-03
    4.6000E+00     2.2000E+09     2.6456E+03     5.6825E+02    -4.4764E-03
    4.5900E+00     2.0610E+09     2.5607E+03     5.3326E+02    -2.5435E-03
    4.5800E+00     1.8346E+09     2.4160E+03     4.7616E+02     4.9846E-02
    4.5700E+00     1.8452E+09     2.4230E+03     4.7883E+02     2.3526E-03
    4.5600E+00     2.0776E+09     2.5710E+03     5.3744E+02     4.9974E-03
    4.5500E+00     2.1988E+09     2.6449E+03     5.6795E+02    -3.7907E-03
    4.5400E+00     2.0352E+09     2.5447E+03     5.2677E+02    -2.6596E-03
    4.5300E+00     1.8212E+09     2.4072E+03     4.7276E+02     1.2490E-02
    4.5200E+00     1.8634E+09     2.4349E+03     4.8341E+02     2.3208E-03
    4.5100E+00     2.1013E+09     2.5856E+03     5.4342E+02     6.5777E-03
    4.5000E+00     2.1941E+09     2.6421E+03     5.6678E+02    -3.3307E-03
    4.4900E+00     2.0088E+09     2.5281E+03     5.2013E+02    -2.8435E-03
    4.4800E+00     1.8109E+09     2.4003E+03     4.7016E+02     7.2044E-03
    4.4700E+00     1.8839E+09     2.4482E+03     4.8860E+02     2.3323E-03
    4.4600E+00     2.1232E+09     2.5991E+03     5.4894E+02     9.7884E-03
    4.4500E+00     2.1860E+09     2.6373E+03     5.6474E+02    -3.0111E-03
    4.4400E+00     1.9823E+09     2.5114E+03     5.1344E+02    -3.1209E-03
    4.4300E+00     1.8040E+09     2.3957E+03     4.6840E+02     5.1294E-03
    4.4200E+00     1.9065E+09     2.4629E+03     4.9430E+02     2.3866E-03
